form_id,error
233,"Page.wait_for_timeout: Target page, context or browser has been closed"
234,"Page.goto: Target page, context or browser has been closed"
241,"Page.goto: Target page, context or browser has been closed"
242,"Page.goto: Target page, context or browser has been closed"
243,"Page.goto: Target page, context or browser has been closed"
251,"Page.goto: Target page, context or browser has been closed"
253,"Page.goto: Target page, context or browser has been closed"
260,"Page.goto: Target page, context or browser has been closed"
265,"Page.goto: Target page, context or browser has been closed"
271,"Page.goto: Target page, context or browser has been closed"
272,"Page.goto: Target page, context or browser has been closed"
281,"Page.goto: Target page, context or browser has been closed"
282,"Page.goto: Target page, context or browser has been closed"
283,"Page.goto: Target page, context or browser has been closed"
287,"Page.goto: Target page, context or browser has been closed"
288,"Page.goto: Target page, context or browser has been closed"
289,"Page.goto: Target page, context or browser has been closed"
291,"Page.goto: Target page, context or browser has been closed"
292,"Page.goto: Target page, context or browser has been closed"
293,"Page.goto: Target page, context or browser has been closed"
295,"Page.goto: Target page, context or browser has been closed"
